index,build,test_index,CPU,FREQ,TIMING_FNT,DUT,y_DUTILOAD,y_DUTIDROPPED,y_DUTICOUNT,run_index
0,Polling,0,12,3000,150,6.0,3.6201171875,0.0,1774129.0,0
1,Polling,1,12,3000,150,7.0,3.646484375,0.0,5497986.0,0
2,Polling,2,12,3000,150,8.0,3.6884765625,0.0,5495161.0,0
3,Polling,3,12,3000,150,9.1,3.7080078125,0.0,5477287.0,0
4,Polling,4,12,3000,150,10.1,3.7802734375,0.0,5493755.0,0
5,Polling,5,12,3000,150,11.1,3.7060546875,0.0,5489866.0,0
6,Polling,6,12,3000,150,12.1,3.87109375,0.0,5481201.0,0
7,Polling,7,12,3000,150,13.1,3.83203125,0.0,5505295.0,0
8,Polling,8,12,3000,150,14.1,3.806640625,0.0,5466067.0,0
9,Polling,9,12,3000,150,15.1,3.8369140625,0.0,5495193.0,0
10,Polling,10,12,3000,150,16.1,1.9697265625,0.0,4824060.0,0
11,Polling,11,12,3000,140,6.0,3.443359375,0.0,1575661.0,0
12,Polling,12,12,3000,140,7.0,3.5078125,0.0,5154928.0,0
13,Polling,13,12,3000,140,8.0,3.5791015625,0.0,5152187.0,0
14,Polling,14,12,3000,140,9.1,3.4931640625,0.0,5173610.0,0
15,Polling,15,12,3000,140,10.1,3.56640625,0.0,5140129.0,0
16,Polling,16,12,3000,140,11.1,3.6015625,0.0,5150958.0,0
17,Polling,17,12,3000,140,12.1,3.7646484375,0.0,5189123.0,0
18,Polling,18,12,3000,140,13.1,3.5478515625,0.0,5127812.0,0
19,Polling,19,12,3000,140,14.1,3.6279296875,0.0,5151350.0,0
20,Polling,20,12,3000,140,15.1,3.6328125,0.0,5153953.0,0
21,Polling,21,12,3000,140,16.1,0.6875,0.0,4030289.0,0
22,Polling,22,12,3000,130,6.0,3.251953125,0.0,1560361.0,0
23,Polling,23,12,3000,130,7.0,3.3359375,0.0,4798107.0,0
24,Polling,24,12,3000,130,8.0,3.3193359375,0.0,4787681.0,0
25,Polling,25,12,3000,130,9.1,3.3544921875,0.0,4794174.0,0
26,Polling,26,12,3000,130,10.1,3.5625,0.0,4828462.0,0
27,Polling,27,12,3000,130,11.1,3.287109375,0.0,4778590.0,0
28,Polling,28,12,3000,130,12.1,3.373046875,0.0,4786935.0,0
29,Polling,29,12,3000,130,13.1,3.388671875,0.0,4793517.0,0
30,Polling,30,12,3000,130,14.1,3.3955078125,0.0,4793698.0,0
31,Polling,31,12,3000,130,15.1,3.4677734375,0.0,4830214.0,0
32,Polling,32,12,3000,130,16.1,1.798828125,0.0,4284749.0,0
33,Polling,33,12,3000,120,6.0,3.037109375,0.0,1521966.0,0
34,Polling,34,12,3000,120,7.0,3.12109375,0.0,4472851.0,0
35,Polling,35,12,3000,120,8.0,3.19140625,0.0,4481673.0,0
36,Polling,36,12,3000,120,9.1,3.19140625,0.0,4477767.0,0
37,Polling,37,12,3000,120,10.1,3.2021484375,0.0,4478067.0,0
38,Polling,38,12,3000,120,11.1,3.171875,0.0,4487178.0,0
39,Polling,39,12,3000,120,12.1,3.2978515625,0.0,4491585.0,0
40,Polling,40,12,3000,120,13.1,3.5029296875,0.0,4541167.0,0
41,Polling,41,12,3000,120,14.1,3.484375,0.0,4472377.0,0
42,Polling,42,12,3000,120,15.1,3.146484375,0.0,4470845.0,0
43,Polling,43,12,3000,120,16.1,1.70703125,0.0,3734045.0,0
44,Polling,44,12,3000,110,6.0,2.8369140625,0.0,1321895.0,0
45,Polling,45,12,3000,110,7.0,2.8369140625,0.0,4053635.0,0
46,Polling,46,12,3000,110,8.0,2.9013671875,0.0,4054278.0,0
47,Polling,47,12,3000,110,9.1,2.9189453125,0.0,4054815.0,0
48,Polling,48,12,3000,110,10.1,2.9619140625,0.0,4053898.0,0
49,Polling,49,12,3000,110,11.1,2.92578125,0.0,4056872.0,0
50,Polling,50,12,3000,110,12.1,2.9423828125,0.0,4055047.0,0
51,Polling,51,12,3000,110,13.1,2.9423828125,0.0,4055642.0,0
52,Polling,52,12,3000,110,14.1,2.9580078125,0.0,4058012.0,0
53,Polling,53,12,3000,110,15.1,2.935546875,0.0,4057194.0,0
54,Polling,54,12,3000,110,16.1,2.3095703125,0.0,3711259.0,0
55,Polling,55,12,3000,110,17.1,0.0,0.0,1467453.0,0
56,Polling,56,12,3000,100,6.0,2.6171875,0.0,1213347.0,0
57,Polling,57,12,3000,100,7.0,2.5888671875,0.0,3714697.0,0
58,Polling,58,12,3000,100,8.0,2.6923828125,0.0,3722024.0,0
59,Polling,59,12,3000,100,9.1,3.1220703125,0.0,3719982.0,0
60,Polling,60,12,3000,100,10.1,2.7744140625,0.0,3665619.0,0
61,Polling,61,12,3000,100,11.1,2.7421875,0.0,3697292.0,0
62,Polling,62,12,3000,100,12.1,2.7802734375,0.0,3714259.0,0
63,Polling,63,12,3000,100,13.1,2.7529296875,0.0,3714689.0,0
64,Polling,64,12,3000,100,14.1,2.783203125,0.0,3716707.0,0
65,Polling,65,12,3000,100,15.1,2.7294921875,0.0,3711822.0,0
66,Polling,66,12,3000,100,16.1,2.7666015625,0.0,3715252.0,0
67,Polling,67,12,3000,100,17.1,0.0,0.0,1605482.0,0
68,Polling,68,12,3000,90,6.0,2.36328125,0.0,963137.0,0
69,Polling,69,12,3000,90,7.0,2.775390625,0.0,3349756.0,0
70,Polling,70,12,3000,90,8.0,2.46484375,0.0,3275934.0,0
71,Polling,71,12,3000,90,9.1,2.47265625,0.0,3331978.0,0
72,Polling,72,12,3000,90,10.1,2.513671875,0.0,3332230.0,0
73,Polling,73,12,3000,90,11.1,2.48046875,0.0,3335326.0,0
74,Polling,74,12,3000,90,12.1,2.4755859375,0.0,3345064.0,0
75,Polling,75,12,3000,90,13.1,2.544921875,0.0,3319337.0,0
76,Polling,76,12,3000,90,14.1,2.53515625,0.0,3304677.0,0
77,Polling,77,12,3000,90,15.1,2.5283203125,0.0,3331056.0,0
78,Polling,78,12,3000,90,16.1,2.4716796875,0.0,3331131.0,0
79,Polling,79,12,3000,90,17.1,0.0,0.0,1722241.0,0
80,Polling,80,12,3000,80,6.0,2.1220703125,0.0,882588.0,0
81,Polling,81,12,3000,80,7.0,2.162109375,0.0,2923455.0,0
82,Polling,82,12,3000,80,8.0,2.1865234375,0.0,2963428.0,0
83,Polling,83,12,3000,80,9.1,2.1591796875,0.0,2960846.0,0
84,Polling,84,12,3000,80,10.1,2.21875,0.0,2985362.0,0
85,Polling,85,12,3000,80,11.1,2.25390625,0.0,2919326.0,0
86,Polling,86,12,3000,80,12.1,2.3193359375,0.0,2965433.0,0
87,Polling,87,12,3000,80,13.1,2.23046875,0.0,2965680.0,0
88,Polling,88,12,3000,80,14.1,2.5205078125,0.0,2982269.0,0
89,Polling,89,12,3000,80,15.1,2.2685546875,0.0,2915527.0,0
90,Polling,90,12,3000,80,16.1,2.2783203125,0.0,2963036.0,0
91,Polling,91,12,3000,80,17.1,0.0,0.0,1508108.0,0
92,Polling,92,12,3000,70,6.0,1.888671875,0.0,799017.0,0
93,Polling,93,12,3000,70,7.0,1.923828125,0.0,2555448.0,0
94,Polling,94,12,3000,70,8.0,1.8876953125,0.0,2559291.0,0
95,Polling,95,12,3000,70,9.1,1.89453125,0.0,2589737.0,0
96,Polling,96,12,3000,70,10.1,1.93359375,0.0,2543786.0,0
97,Polling,97,12,3000,70,11.1,1.8603515625,0.0,2561161.0,0
98,Polling,98,12,3000,70,12.1,1.99609375,0.0,2590038.0,0
99,Polling,99,12,3000,70,13.1,1.9365234375,0.0,2544521.0,0
100,Polling,100,12,3000,70,14.1,1.953125,0.0,2573033.0,0
101,Polling,101,12,3000,70,15.1,1.96484375,0.0,2559546.0,0
102,Polling,102,12,3000,70,16.1,1.994140625,0.0,2564558.0,0
103,Polling,103,12,3000,70,17.1,0.0,0.0,1521622.0,0
104,Polling,104,12,3000,60,6.0,1.6513671875,0.0,672578.0,0
105,Polling,105,12,3000,60,7.0,1.6708984375,0.0,2179433.0,0
106,Polling,106,12,3000,60,8.0,1.6337890625,0.0,2211310.0,0
107,Polling,107,12,3000,60,9.1,1.66796875,0.0,2190318.0,0
108,Polling,108,12,3000,60,10.1,1.6533203125,0.0,2199387.0,0
109,Polling,109,12,3000,60,11.1,1.6708984375,0.0,2198891.0,0
110,Polling,110,12,3000,60,12.1,1.66796875,0.0,2191857.0,0
111,Polling,111,12,3000,60,13.1,1.6943359375,0.0,2213908.0,0
112,Polling,112,12,3000,60,14.1,1.7138671875,0.0,2186582.0,0
113,Polling,113,12,3000,60,15.1,1.7099609375,0.0,2220315.0,0
114,Polling,114,12,3000,60,16.1,1.7236328125,0.0,2178289.0,0
115,Polling,115,12,3000,60,17.1,0.0,0.0,1308319.0,0
116,Polling,116,12,3000,50,6.0,1.4052734375,0.0,557522.0,0
117,Polling,117,12,3000,50,7.0,1.44140625,0.0,1816998.0,0
118,Polling,118,12,3000,50,8.0,1.615234375,0.0,1886185.0,0
119,Polling,119,12,3000,50,9.1,1.4228515625,0.0,1802532.0,0
120,Polling,120,12,3000,50,10.1,1.439453125,0.0,1842126.0,0
121,Polling,121,12,3000,50,11.1,1.408203125,0.0,1855813.0,0
122,Polling,122,12,3000,50,12.1,1.4853515625,0.0,1837025.0,0
123,Polling,123,12,3000,50,13.1,1.42578125,0.0,1866889.0,0
124,Polling,124,12,3000,50,14.1,1.470703125,0.0,1831951.0,0
125,Polling,125,12,3000,50,15.1,1.4306640625,0.0,1871230.0,0
126,Polling,126,12,3000,50,16.1,1.4580078125,0.0,1824778.0,0
127,Polling,127,12,3000,50,17.1,0.0,0.0,951492.0,0
128,Polling,128,12,2900,150,6.0,3.84765625,0.0,1558795.0,0
129,Polling,129,12,2900,150,7.1,3.8974609375,0.0,5566589.0,0
130,Polling,130,12,2900,150,8.1,4.23828125,0.0,5614401.0,0
131,Polling,131,12,2900,150,9.1,3.921875,0.0,5535729.0,0
132,Polling,132,12,2900,150,10.1,3.9609375,0.0,5563452.0,0
133,Polling,133,12,2900,150,11.1,3.9072265625,0.0,5593398.0,0
134,Polling,134,12,2900,150,12.1,3.974609375,0.0,5553832.0,0
135,Polling,135,12,2900,150,13.1,3.9775390625,0.0,5596476.0,0
136,Polling,136,12,2900,150,14.1,3.921875,0.0,5554178.0,0
137,Polling,137,12,2900,150,15.1,3.9921875,0.0,5553527.0,0
138,Polling,138,12,2900,150,16.1,2.2822265625,0.0,4959620.0,0
139,Polling,139,12,2900,140,6.0,3.6689453125,0.0,2256398.0,0
140,Polling,140,12,2900,140,7.1,3.7216796875,0.0,5199670.0,0
141,Polling,141,12,2900,140,8.1,4.1103515625,0.0,5265119.0,0
142,Polling,142,12,2900,140,9.1,3.7421875,0.0,5175275.0,0
143,Polling,143,12,2900,140,10.1,3.802734375,0.0,5202324.0,0
144,Polling,144,12,2900,140,11.1,3.828125,0.0,5230232.0,0
145,Polling,145,12,2900,140,12.1,3.7490234375,0.0,5226281.0,0
146,Polling,146,12,2900,140,13.1,3.751953125,0.0,5196192.0,0
147,Polling,147,12,2900,140,14.1,3.79296875,0.0,5204577.0,0
148,Polling,148,12,2900,140,15.1,3.8935546875,0.0,5253750.0,0
149,Polling,149,12,2900,140,16.1,2.6181640625,0.0,4436090.0,0
150,Polling,150,12,2900,130,6.0,3.36328125,0.0,1931083.0,0
