index,build,test_index,CPU,FREQ,TIMING_FNT,y_TESTTIME,y_RCVTIME,y_THROUGHPUT,y_TX,y_COUNT,y_SENT,y_PPS,y_TXPPS,y_DROPPED,y_DROPPEDPC,y_LATENCY,y_LAT00,y_LAT01,y_LAT50,y_LAT95,y_LAT99,y_LAT100,y_IRQ,y_WATT,y_RAM,y_GOODPC,y_LATPC,y_MINPC,y_LOAD_AVG,y_LOAD_MAX,y_DUT_DROPPED_TOTAL,y_POLL_TIME,y_C1_TIME,y_C2_TIME,y_TOTAL_CIDLE,run_index,y_BEGIN_POLL,y_BEGIN_C1,y_BEGIN_C2,y_END_POLL,y_END_C1,y_END_C2,y_DUTDROPPED
0,Polling,0,12,3000,150,11.306636095,10.272,43526120194.8,43526147996.2,55999843.0,56000000.0,5457987.00089,5458002.29128,157.0,2.80357142857e-06,13.4588946428,7.0,9.0,13.0,17.0,19.0,1758.75,0.0,129.403783,3.476909,99.99971964285714,100.0,99.99971964285714,3.6201171875,3.87109375,0.0,4.0,80836.0,4907303.0,4988143.0,0,,,,,,,
1,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.646484375,,,,,,,1,,,,,,,
2,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.6884765625,,,,,,,2,,,,,,,
3,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.7080078125,,,,,,,3,,,,,,,
4,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.7802734375,,,,,,,4,,,,,,,
5,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.7060546875,,,,,,,5,,,,,,,
6,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.87109375,,,,,,,6,,,,,,,
7,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.83203125,,,,,,,7,,,,,,,
8,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.806640625,,,,,,,8,,,,,,,
9,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,3.8369140625,,,,,,,9,,,,,,,
10,Polling,0,12,3000,150,,,,,,,,,,,,,,,,,,,,,,,,1.9697265625,,,,,,,10,,,,,,,
11,Polling,1,12,3000,140,11.2499825954,10.235,40896765233.1,40897800261.5,51999870.0,52000000.0,5128256.07697,5128397.05113,130.0,2.5e-06,13.3979903846,7.0,9.0,13.0,17.0,19.25,1949.5,,132.148832,3.476099,99.99974999999999,100.0,99.99974999999999,3.443359375,3.7646484375,0.0,92.0,72564.0,4900344.0,4973000.0,0,,,,,,,
